name,BRI,gri,g'r'i'
SDSS-II SN 5354,False,False,True
SDSS-II SN 8467,False,False,True
SDSS-II SN 19559,False,False,True
SDSS-II SN 19755,False,False,True
SDSS-II SN 15215,False,False,True
SNLS-04D2gc,False,True,False
PS1-11aib,False,True,False
SDSS-II SN 17898,False,False,True
SN2009E,True,False,False
SDSS-II SN 18320,False,False,True
ESSENCEr185,False,False,True
SDSS-II SN 17845,False,False,True
SDSS-II SN 19737,False,False,True
SDSS-II SN 21738,False,False,True
SNLS-06D3cc,False,True,False
SN1997bp,True,False,False
SN2007kb,False,False,True
SDSS-II SN 20965,False,False,True
SDSS-II SN 19980,False,False,True
SDSS-II SN 21272,False,False,True
SDSS-II SN 17551,False,False,True
SN2005hm,False,False,True
SDSS-II SN 4248,False,False,True
SDSS-II SN 14807,False,False,True
SN2010fi,False,True,False
SN2006ps,False,False,True
SN2005mj,False,False,True
PS1-11afv,False,True,False
SDSS-II SN 19459,False,False,True
SNLS-05D3hh,False,True,False
SN2006ia,False,False,True
SDSS-II SN 15953,False,False,True
SDSS-II SN 7712,False,False,True
SDSS-II SN 18678,False,False,True
SDSS-II SN 14366,False,False,True
SDSS-II SN 21740,False,False,True
SDSS-II SN 18930,False,False,True
PS15cfn,False,True,False
SDSS-II SN 2080,False,False,True
SDSS-II SN 4118,False,False,True
SN2003fb,True,False,False
SDSS-II SN 5508,False,False,True
SDSS-II SN 15943,False,False,True
SDSS-II SN 3368,False,False,True
SDSS-II SN 20877,False,False,True
SDSS-II SN 7852,False,False,True
SDSS-II SN 14445,False,False,True
SDSS-II SN 2621,False,False,True
SNLS-04D2fs,False,True,False
SDSS-II SN 19014,False,False,True
SN2006gn,False,False,True
SN2011hs,True,False,True
SN2004gc,False,True,False
SDSS-II SN 14193,False,False,True
SDSS-II SN 16998,False,False,True
SNLS-06D3el,False,True,False
SDSS-II SN 14870,False,False,True
SDSS-II SN 1838,False,False,True
SN2005ke,False,True,False
SDSS-II SN 10314,False,False,True
SDSS-II SN 20639,False,False,True
SN2010jl,True,False,False
SDSS-II SN 5735,False,False,True
Gaia16aew,False,True,False
SDSS-II SN 1782,False,False,True
SN1999ac,True,False,False
SDSS-II SN 14989,False,False,True
SDSS-II SN 15945,False,False,True
SDSS-II SN 19110,False,False,True
SN2002aw,True,False,False
SN2006hi,False,False,True
SN2005gu,False,False,True
SN2016coj,False,True,False
PS1-10kv,False,True,False
SDSS-II SN 15331,False,False,True
SDSS-II SN 5374,False,False,True
SDSS-II SN 13594,False,False,True
SDSS-II SN 16470,False,False,True
SDSS-II SN 13811,False,False,True
SN2005be,False,True,False
SDSS-II SN 8024,False,False,True
SDSS-II SN 19484,False,False,True
PS1-10ix,False,True,False
SDSS-II SN 19424,False,False,True
SDSS-II SN 4638,False,False,True
SDSS-II SN 16360,False,False,True
SDSS-II SN 15269,False,False,True
SDSS-II SN 8662,False,False,True
SDSS-II SN 20588,False,False,True
SDSS-II SN 4244,False,False,True
SDSS-II SN 18960,False,False,True
SN2007ks,False,False,True
SDSS-II SN 16237,False,False,True
SDSS-II SN 6851,False,False,True
SDSS-II SN 4483,False,False,True
SDSS-II SN 897,False,False,True
SN2006lr,False,False,True
SN2007lp,False,False,True
SN2016fee,True,False,False
SDSS-II SN 13393,False,False,True
SDSS-II SN 4333,False,False,True
SDSS-II SN 20445,False,False,True
SNLS-05D2ck,False,True,False
PS1-10k,False,True,False
SDSS-II SN 18797,False,False,True
SDSS-II SN 17871,False,False,True
SDSS-II SN 13247,False,False,True
SDSS-II SN 20400,False,False,True
SDSS-II SN 15635,False,False,True
SDSS-II SN 2464,False,False,True
SN2003Y,True,False,False
SDSS-II SN 18169,False,False,True
SDSS-II SN 14904,False,False,True
SDSS-II SN 20406,False,False,True
SDSS-II SN 1251,False,False,True
SDSS-II SN 19640,False,False,True
SDSS-II SN 14826,False,False,True
SDSS-II SN 13996,False,False,True
SDSS-II SN 17461,False,False,True
SN2007sh,False,False,True
SN2006ta,False,False,True
SDSS-II SN 13363,False,False,True
SDSS-II SN 13607,False,False,True
SDSS-II SN 4497,False,False,True
SDSS-II SN 18972,False,False,True
SDSS-II SN 14215,False,False,True
SDSS-II SN 4322,False,False,True
SDSS-II SN 19379,False,False,True
SDSS-II SN 19325,False,False,True
SN2007nh,False,False,True
SN2016hpw,False,True,False
SDSS-II SN 6086,False,False,True
SDSS-II SN 15448,False,False,True
SN2017ciy,False,True,False
SDSS-II SN 3674,False,False,True
SDSS-II SN 18973,False,False,True
SDSS-II SN 8796,False,False,True
SDSS-II SN 1963,False,False,True
SDSS-II SN 7864,False,False,True
SDSS-II SN 18094,False,False,True
SDSS-II SN 13932,False,False,True
SDSS-II SN 19530,False,False,True
SDSS-II SN 4078,False,False,True
SN2005ks,False,False,True
SDSS-II SN 20766,False,False,True
SDSS-II SN 4293,False,False,True
SDSS-II SN 13660,False,False,True
SDSS-II SN 14552,False,False,True
SDSS-II SN 1921,False,False,True
SDSS-II SN 18836,False,False,True
SDSS-II SN 7835,False,False,True
SDSS-II SN 6660,False,False,True
SDSS-II SN 6479,False,False,True
SDSS-II SN 831,False,False,True
SNLS-05D3mn,False,True,False
SN2004bv,True,False,False
SDSS-II SN 13907,False,False,True
SDSS-II SN 14413,False,False,True
SDSS-II SN 7611,False,False,True
SDSS-II SN 20490,False,False,True
SDSS-II SN 20804,False,False,True
SN2001ck,True,False,False
SNLS-06D3fp,False,True,False
SDSS-II SN 4631,False,False,True
ASASSN-14ae,True,True,False
SDSS-II SN 918,False,False,True
SDSS-II SN 21380,False,False,True
SDSS-II SN 21420,False,False,True
CSS100217,True,True,False
SDSS-II SN 14103,False,False,True
SDSS-II SN 21369,False,False,True
SDSS-II SN 16606,False,False,True
SDSS-II SN 19687,False,False,True
SN2017cju,False,True,False
SN2008dr,True,False,False
SDSS-II SN 19483,False,False,True
SDSS-II SN 13850,False,False,True
SDSS-II SN 15114,False,False,True
Gaia15agh,False,True,False
SN2008dx,True,False,False
SDSS-II SN 20129,False,False,True
SDSS-II SN 8793,False,False,True
SDSS-II SN 6079,False,False,True
SN2017coa,False,True,False
SDSS-II SN 14881,False,False,True
